'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
776.23,780,796,0.72095,-0.1953,2.4963,40,26.85,3.4591,15.516,0.0026042,77.39,2.7023,70.093,85.714,51.675,409.02,140.35,102.4,58.145,19.951,14.557,47.668,34.781,1.37,703.44,0.01182,10.986,36.348,3.3087,1.1553,1.3475,1.195,1.0367,452.48,1,3.25
712.25,712,716,0.4012,-0.28841,3.7237,24,20.03,2.8122,14.775,0.0023866,84.308,2.3981,78.125,95.541,17.613,135.4,124.74,61.535,39.908,36.765,18.136,61.181,30.181,2.03,339.29,0.0070369,10.459,26.325,2.5169,1.1804,1.1747,1.3048,0.90317,1044.2,3,8
900.03,912,912,8.2615,-2.4084,13.757,69,90.893,10.099,85.394,0.32576,67.685,10.665,49.505,142.86,405.18,4537.6,5222.7,2712.9,35.234,40.554,21.066,62.616,32.526,1.93,12878,0.014679,60.497,113.42,1.8747,1.0277,1.3014,0.96604,0.91749,51.204,3,6
676.14,680,672,1.523,0.0048564,2.2808,59,39.026,5.7718,27.67,0.12443,89.036,5.1696,77.32,100,14.325,188.51,949.64,348.42,12.56,63.272,23.214,72.36,26.549,2.73,1500.9,0.38452,19.588,51.598,2.6342,1.1571,1.624,1.2522,0.53277,330.87,3,5.875
1026.9,1032,1032,2.9184,-1.6584,7.6822,52,54.022,5.2608,45.787,0.36082,58.608,3.4448,52.817,75.758,96.232,1440.3,766.42,598.1,49.648,26.418,20.617,52.467,40.945,1.28,2901.1,0.049442,32.43,69.175,2.1331,0.98329,1.3275,1.0738,1.0511,114.72,3,6
1362.2,1368,1360,2.5618,-3.0635,28.502,42,50.614,3.7157,61.436,0.26512,44.118,1.947,38.071,64.655,114.72,1174.2,1625.9,552.58,33.863,46.892,15.936,70.901,24.096,2.94,3467.4,0.13684,43.543,56.811,1.3047,0.97781,1.3075,0.90733,0.54842,48.705,2,4.625
847.92,852,852,1.5773,-1.2519,5.2611,40,39.715,4.6838,22.169,0.034384,70.927,3.5648,65.502,88.235,86.046,834.12,457.08,185.88,53.362,29.241,11.892,62.699,25.498,2.46,1563.1,0.14554,15.698,53.927,3.4352,1.0676,1.6097,1.3338,0.8837,318.58,2,4.625
780.85,786,780,2.6365,-4.7049,33.413,40,51.347,6.5758,28.105,0.013333,77.362,8.2188,68.493,156.25,15.32,177.54,626.52,29.082,20.925,73.842,3.4276,93.382,4.3346,21.54,848.47,0.057696,19.899,69.836,3.5094,0.72251,0.73457,1.5128,0.64202,148.66,2,4.625
842.31,848,864,0.5923,-0.62592,11.214,31,24.337,2.8893,16.465,0.016949,71.294,2.1229,60,85.714,71.95,343.38,114.55,118.56,52.955,17.665,18.284,37.549,38.866,0.97,648.44,0.029855,11.659,32.383,2.7775,0.6661,0.54782,0.97255,0.92731,307.56,1,3.625
801.16,800,760,2.9411,0.043863,2.0367,92,54.232,6.7692,17.514,0.016086,75.236,5.1142,64.655,87.719,468.59,1874.5,362.08,79.572,67.313,13.003,2.8575,39.778,8.7418,4.55,2784.7,0.0071508,12.399,75.687,6.1044,0.95018,0.98161,1.3586,1.0562,161.84,2,5.5
868,868,872,0.53424,-0.6625,4.9507,28,23.114,2.6629,12.043,0.0087977,69.174,1.883,65.502,81.081,39.622,292.49,128.48,29.362,59.697,26.224,5.9928,65.066,14.869,4.38,489.96,0.096142,8.5281,31.556,3.7002,0.8949,0.94374,1.2995,1.121,429.21,1,3
1029.5,1032,1040,0.66589,0.059615,5.5184,36,25.805,2.5065,30.953,0.065292,58.316,1.4655,51.546,65.217,17.94,151.17,116.27,380.49,22.702,17.462,57.142,22.591,73.924,0.31,665.87,0.23904,21.924,29.173,1.3306,1.0873,1.4777,0.56328,0.71244,212.07,2,5.25
847.07,854,800,6.436,-1.0654,6.9062,96,80.224,9.4708,51.937,0.16239,71.6,8.5337,59.289,156.25,253.74,2697.9,2222.7,1240.3,42.058,34.651,19.335,59.803,33.37,1.79,6414.6,0.023422,36.777,107.33,2.9184,0.95873,1.0433,1.1651,0.96306,53.267,2,4.5
844.78,848,848,1.8633,-0.51633,2.8134,56,43.166,5.1098,14.148,0.0056657,71.216,3.7616,64.655,83.333,296.55,1522.3,168.66,47.491,74.806,8.2879,2.3337,32.896,9.263,3.55,2035,0.0049963,10.018,60.219,6.0113,0.8754,0.91294,1.527,1.1749,195.87,1,4.25
763.28,764,756,1.999,-0.29002,3.5198,60,44.71,5.8576,27.603,0.069054,78.886,4.7639,66.079,98.039,81.329,973.78,632.56,432.98,45.919,29.828,20.417,55.155,37.753,1.46,2120.7,0.0086754,19.543,60.134,3.077,1.1923,1.4417,1.0967,0.96158,172.09,1,3.75
846.25,848,848,0.05131,6.1333,84.85,4,7.1631,0.84645,8.124,0.0056818,70.905,0.57316,63.83,73.171,1.8381,17.372,12.686,17.55,35.133,25.656,35.493,39.552,54.718,0.72,49.447,0.028272,5.7527,8.3382,1.4494,1.0123,1.0282,1.0803,1.0362,781.71,3,6.875
795.19,796,796,0.34062,0.027603,2.8642,24,18.456,2.3209,16.461,0,75.494,1.7537,71.09,80.214,18.903,167.33,29.422,112.65,50.967,8.9616,34.313,18.277,69.98,0.26,328.31,0.044218,11.655,23.354,2.0037,0.73025,2.22,0.57029,1.191,1026.4,1,2.75
950.72,956,976,1.908,-0.52876,4.7634,56,43.681,4.5945,50.471,0.27389,63.248,3.0166,55.351,81.967,92.25,939.31,253.16,613.56,49.482,13.336,32.322,26.399,63.981,0.41,1898.3,0.0029294,35.837,51.388,1.434,1.1049,1.7176,0.54374,1.024,121.74,3,6
